Stock,Symbol,Shares Held
Abcellera biologics inc.,ABCL,2617603.0
Ss&c technologies holdings inc,SSNC,338200.0
Gaming and leisure properties inc,GLPI,539330.0
Hudbay minerals inc,HBM,3223229.0
Jones lang lasalle inc,JLL,105689.0
American campus communities inc,ACC,451986.0
Orion engineered carbons s.a,OEC,1580801.0
Bigcommerce holdings  inc.,BIGC,1151000.0
Apache corp,APA,608191.0
Aclaris therapeutics inc,ACRS,1457578.0
Petmed express inc,PETS,972784.0
Avista corp. (washington water power co.),AVA,555322.0
Unum group  inc.,UNM,793400.0
Tucows inc,TCX,365851.0
One liberty properties  inc.,OLP,811007.0
Equifax inc.,EFX,105295.0
Endeavor group holdings  inc.,EDR,843300.0
Leggett & platt inc.,LEG,713700.0
Vanguard short-term inflation-protected securities index fund,VTIP,484908.0
Amerco inc,UHAL,41566.0
Targa resources inc,TRGP,328500.0
Vishay precision group inc,VPG,769673.0
Lsb industries inc,LXU,1132689.0
Mongodb inc,MDB,55700.0
Fox corp class a,FOXA,626192.0
Teck resources ltd,TECK,610576.0
Snap-on inc.,SNA,119900.0
Universal corp. (universal leaf tobacco),UVV,421011.0
Mattel inc.,MAT,1100600.0
First industrial realty trust  inc.,FR,394700.0
E.l.f. beauty inc,ELF,945900.0
Copa holdings s.a.,CPA,292028.0
Cornerstone building brands inc,CNR,1002348.0
Northfield bancorp inc,NFBK,1695151.0
Teva pharmaceutical industries ltd  adr,TEVA,2589163.0
Gartner  inc.,IT,81509.0
Lattice semconductor corp.,LSCC,397500.0
Companhia vale de rio doce s.a. adr,VALE,1209759.0
Tegna inc. (gannett co.),TGNA,1075800.0
Southside bancshares  inc.,SBSI,588846.0
Wendys co. (the),WEN,1091882.0
Kornit digital ltd,KRNT,290100.0
Primo water corp,PRMW,1678042.0
Cvr energy inc,CVI,935984.0
American national insurance co. (galveston  tx),ANAT,126351.0
Methanex corp,MEOH,434548.0
Mercantile bank corp.,MBWM,668513.0
Cubesmart,CUBE,454595.0
Huntsman corp,HUN,628000.0
